WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h
2018-03-22T00:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22T12:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T00:00:00,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T06:00:00,,,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,24,,,,,12,,31,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,59,69,,,,,74,,84,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T06:00:00,99,99,96,,,,,95,,90,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,,98,98,97,,,,,96,,93,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T18:00:00,100,,100,100,97,,,,,83,,78,,,,,,,,,,,,,,,,,,,,,
2018-03-25T00:00:00,20,99,,73,73,42,,,,,33,,34,,,,,,,,,,,,,,,,,,,,
2018-03-25T06:00:00,1,8,8,,4,4,5,,,,,6,,2,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,1,1,1,1,,1,1,1,,,,,2,,1,,,,,,,,,,,,,,,,,,
2018-03-25T18:00:00,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2018-03-26T00:00:00,0,,,,,,,,,0,,,,,,,3,,,,,,,,,,,,,,,,
2018-03-26T06:00:00,,1,1,1,1,1,1,,2,2,4,,,,,,,4,,,,,,,,,,,,,,,
2018-03-26T12:00:00,5,,9,9,9,9,7,9,,7,7,8,,,,,6,,6,,,,,,,,,,,,,,
2018-03-26T18:00:00,59,59,,80,80,80,80,81,69,,65,65,61,,,,,43,,9,,,,,,,,,,,,,
2018-03-27T00:00:00,94,99,98,,89,89,89,89,91,89,,88,88,86,,,,,77,,29,,,,,,,,,,,,
2018-03-27T06:00:00,100,100,100,99,,96,96,96,94,94,92,,93,93,90,,,,,85,,79,,,,,,,,,,,
2018-03-27T12:00:00,50,95,97,97,98,,84,84,84,92,92,95,,92,92,,,,,,87,,81,,,,,,,,,,
2018-03-27T18:00:00,10,83,83,83,83,97,,77,77,77,76,76,89,,86,86,81,,,,,76,,75,,,,,,,,,
